,Topic,Count,Name,Representation,Representative_Docs
0,-1,364,-1_the_flight_for_delay,"['the', 'flight', 'for', 'delay', 'arrival', 'to', 'at', 'proper', 'passengers', 'and']","['The airline did not provide proper assistance for passengers with language barriers.', ""The airline's communication was inadequate for passengers with language barriers, leading to difficulties in understanding important information."", 'I had to wait for hours at the airport due to the flight delay. A waste of time.']"
1,0,168,0_meal_options_food_any,"['meal', 'options', 'food', 'any', 'offer', 'dietary', 'beverage', 'vegetarian', 'served', 'quality']","[""The airline didn't offer any gluten-free meal options, disregarding passengers with dietary restrictions."", 'The airline did not provide any vegetarian meal options.', 'The airline did not offer any vegetarian meal options.']"
2,1,88,1_question_delays_airline_me,"['question', 'delays', 'airline', 'me', 'updates', 'lack', 'expected', 'punctuality', 'timely', 'frustrated']","['The lack of compensation for the inconvenience caused by the delays disappointed me.', ""The airline's lack of compensation for the inconvenience caused by the delays disappointed me."", ""The repeated delays in flight departure made me question the airline's commitment to punctuality.""]"
3,2,57,2_arrival_feeling_sadness_extended,"['arrival', 'feeling', 'sadness', 'extended', 'wait', 'departure', 'left', 'me', 'felt', 'significant']","['The prolonged wait for flight arrival caused me significant emotional distress and robbed me of enjoyment.', 'The prolonged delay in flight arrival left me feeling disappointed and exhausted.', 'The lengthy wait for flight arrival left me feeling emotionally exhausted and disappointed.']"
4,3,53,3_turbulence_so_witnessed_intense,"['turbulence', 'so', 'witnessed', 'intense', 'other', 'their', 'unexpected', 'violent', 'severe', 'and']","[""The turbulence was so intense that it caused passengers to scream and cry, and the airline's response was insufficient in addressing their distress."", 'The turbulence was so intense that it caused turbulence-related injuries, and the airline did not take adequate responsibility.', ""The turbulence was so intense that it caused passengers to scream in fear, and the airline's response did not alleviate their distress.""]"
5,4,51,4_attendants_inattentive_rude_were,"['attendants', 'inattentive', 'rude', 'were', 'needs', 'requests', 'unresponsive', 'seemed', 'unfriendly', 'passenger']","['The flight attendants were inattentive to passenger needs.', 'The flight attendants were rude and inattentive.', 'The flight attendants were rude and inattentive to passenger needs.']"
6,5,50,5_plans_disrupted_my_schedule,"['plans', 'disrupted', 'my', 'schedule', 'arrival', 'delay', 'day', 'rearrange', 'itinerary', 'disrupting']","[""The flight's delay in arrival disrupted my schedule."", ""The flight's significant delay in arrival disrupted my plans."", 'The flight delay disrupted my travel plans.']"
7,6,50,6_seats_uncomfortable_legroom_cramped,"['seats', 'uncomfortable', 'legroom', 'cramped', 'comfortable', 'stretch', 'position', 'arrangement', 'space', 'seating']","['I felt cramped and uncomfortable throughout the flight due to limited legroom.', 'There were no reclining seats on the flight, making it impossible to find a comfortable position.', 'The legroom was insufficient, and it made the journey cramped and uncomfortable.']"
8,7,48,7_emotionally_by_emotional_felt,"['emotionally', 'by', 'emotional', 'felt', 'feeling', 'left', 'betrayed', 'of', 'sense', 'experience']","['I was emotionally devastated by the lack of professionalism and disregard for passenger satisfaction displayed by the airline.', 'I was emotionally drained by the lack of empathy and understanding from the airline staff.', 'The overall experience left me feeling emotionally shattered and betrayed by the airline.']"
9,8,46,8_this_am_anger_delays,"['this', 'am', 'anger', 'delays', 'are', 'have', 'these', 'furious', 'beyond', 'absolutely']","['I am boiling with anger at the incompetence of this airline! These delays are unforgivable!', ""I am boiling with anger! This airline's delays have ruined my travel experience!"", 'I am fuming with anger! The constant delays from this airline have ruined my travel plans!']"
10,9,37,9_family_miss_important_delay,"['family', 'miss', 'important', 'delay', 'attend', 'event', 'our', 'gathering', 'but', 'significant']","['I was devastated by the significant delay in our flight departure, causing me to miss important plans.', 'I had an important family event to attend, but the delay in departure made it impossible.', 'I had a family gathering to attend, but the delay in arrival made me miss it.']"
11,10,37,10_turbulence_unsettling_continuous_it,"['turbulence', 'unsettling', 'continuous', 'it', 'journey', 'uncomfortable', 'unease', 'wracking', 'nerve', 'discomfort']","['The turbulence was continuous and unsettling, making it impossible to sleep or relax during the flight.', 'The turbulence was continuous and turbulent, causing discomfort and unease throughout the entire flight.', 'The turbulence during the flight was intense, and it made the journey uncomfortable and unsettling.']"
12,11,36,11_expensive_price_high_ticket,"['expensive', 'price', 'high', 'ticket', 'any', 'fare', 'did', 'cost', 'pricing', 'prices']","['The airline did not provide any additional perks or benefits to justify the high price of the ticket.', 'The flight did not offer any premium services or amenities that would justify the high price.', 'The airline did not offer any complimentary amenities, despite the high cost of the ticket.']"
13,12,36,12_check_online_website_mobile,"['check', 'online', 'website', 'mobile', 'app', 'bookings', 'booking', 'process', 'system', 'confusing']","[""I experienced delays and inconvenience due to the airline's complicated and slow online check-in process."", 'I experienced difficulties with the online check-in process.', 'Difficulties with online check-in process.']"
